"wine_id","cluster_consumatore","cluster_label_consumatore","valutazione","cluster_vino","cluster_label_vino"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6,"1","Corposi • Alto alcol"
"1","2","Adulti • Alta valutazione",7.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",4.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",5.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",7,"1","Corposi • Alto alcol"
"1","2","Adulti • Alta valutazione",8.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",6.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","2","Adulti • Alta valutazione",7.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",4.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",6.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","2","Adulti • Alta valutazione",7,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",7,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",6.5,"1","Corposi • Alto alcol"
"1","2","Adulti • Alta valutazione",9,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",8,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",6,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",6,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6.5,"1","Corposi • Alto alcol"
"1","3","Adulti — Bassa valutazione",7,"1","Corposi • Alto alcol"
"1","1","Giovani — Valutazione media",6,"1","Corposi • Alto alcol"
