"wine_id","id_vino","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","type","cluster","PC1","PC2"
"1","Nero d'Avola Riserva",9.25,0.53,0.38,6.76,0.09,26.08,35.48,1,3.26,0.51,8.5361,"R","1",-0.3494,1.2541
"2","Primitivo di Manduria",9.93,0.67,0.05,1.76,0.07,29.73,44.36,1,3.14,0.57,11.63,"R","1",-2.1853,0.0384
"3","Amarone della Valpolicella",6.77,0.61,0.19,1.98,0.06,16.71,36.66,1,3.32,0.71,9.98,"R","2",-1.0259,0.5485
"4","Chianti Classico",10.14,0.9339,0.46,2.95,0.1,17.07,42.47,0.99,3.24,0.58,12.77,"R","1",-3.0106,-2.2076
"5","Brunello di Montalcino",9.02,0.29,0.33,1.83,0.1,25.1,72.36,1,3.32,0.56,9.69,"R","1",-0.6402,0.556
"6","Barolo DOCG",10.15,0.52,0.22,5.55,0.07,17.42,75.09,1,3.25,0.7,13.35,"R","1",-1.9894,0.2382
"7","Montepulciano d'Abruzzo",8.45,0.78,0.0095,4.45,0.06,26.34,72.59,1,3.27,0.43,10.55,"R","1",-0.806,0.4385
"8","Valpolicella Ripasso",9.62,0.52,0.22,3.6,0.11,13.76,62.83,1,3.5,0.54,11.11,"R","1",-1.6641,0.3349
"9","Barbera d'Asti",7.91,0.33,0.32,3.04,0.03,20.76,40.11,1,3.42,0.63,11.76,"R","2",-0.0448,0.2154
"10","Sagrantino di Montefalco",5.6581,0.41,0.49,2.46,0.05,18.48,111.58,1,3.4,0.64,10.1,"R","2",0.8874,0.3432
"11","Nerello Mascalese Etna",10.1986,0.66,0.4,1.2416,0.11,29.14,29.405,1,3.28,0.7862,13.512,"R","1",-3.3251,-1.037
"12","Cannonau di Sardegna",9.81,0.55,0.23,3.98,0.06,11.2328,88.75,1,3.3,0.77,10.02,"R","1",-1.4434,0.905
"13","Vermentino di Gallura",7.27,0.44,0.06,5.96,0.03,52.86,191.98,0.99,3.36,0.63,10.43,"W","3",2.0477,-2.334
"14","Fiano di Avellino",8.02,0.3,0.13,9.4208,0.07,20.38,171.48,1,3.1076,0.6,10.61,"W","1",0.6221,1.6609
"15","Greco di Tufo",7.99,0.51,0.31,3.23,0.06,31.41,188.38,1,3.6944,0.49,8.79,"W","2",1.6339,-0.3439
"16","Gavi DOCG",6.96,0.16,0.53,5.47,0.05,31.65,168.56,1,3.24,0.38,8.69,"W","2",2.7435,1.1269
"17","Soave Classico",6.46,0.38,0.39,2.21,0.06,59.8098,149.24,0.99,3.44,0.49,11.07,"W","3",2.0411,-3.2794
"18","Ribolla Gialla",8.28,0.16,0.5867,8.87,0.04,42.73,274.7053,1,3.45,0.59,10.85,"W","2",3.2719,-0.1653
"19","Verdicchio dei Castelli",6.62,0.37,0.21,4.6,0.05,26.98,68.46,1,3.18,0.49,9.31,"W","2",0.8343,1.2171
"20","Falanghina del Sannio",6.6,0.47,0.37,7.34,0.03,35.68,113.94,1,3.36,0.2666,10.39,"W","2",2.4023,0.4901
